"ID","Naam","Type","Plaats","Adres","Website","PlaceID","Lat","Lng","Rating","Reviews"
"1049","Speeltuin de Brouwerij","onderweg","Gorredijk","Brouwerij 13, Gorredijk","False","True","53,009418","6,068768","True","True"
"1050","Speeltuin De Ijsboerderij Labora","onderweg","De Cocksdorp","1795, De Cocksdorp","False","True","53,144224","4,866777","True","True"
"1051","Speeltuin de Klimbim","onderweg","Waalre","Eikenlaan 11, Waalre","True","True","51,384703","5,452909","True","True"
"1052","Speeltuin De Leeuwenborg Groningen","onderweg","Nieuw Scheemda","Pastorieweg 14, Nieuw Scheemda","True","True","53,221919","6,954497","True","True"
"1053","Speeltuin de Speelderij Edam-Volendam","onderweg","Volendam","Boezelgracht 2-A, Volendam","True","True","52,502311","5,063901","True","True"
"1054","Speeltuin De Woeste Weide","onderweg","Sliedrecht","Burg. Feitsmapark 1, Sliedrecht","True","True","51,823178","4,784013","True","True"
"1055","Speeltuin en dieren","onderweg","Heerenveen","Heerenveen","False","True","52,949745","5,937696","True","True"
"1056","Speeltuin en Kinderboerderij de Kabouter Vaesrade","onderweg","Nuth","Tulpstraat 59E, Nuth","True","True","50,928026","5,904912","True","True"
"1057","Speeltuin Hernesseroord","onderweg","Middelharnis","Middelharnis","True","True","51,762126","4,174357","True","True"
"1058","Speeltuin Hertenkamp boerderij","onderweg","Mijdrecht","Johannes van Lochemstraat 1, Mijdrecht","False","True","52,203449","4,865952","True","True"
"1059","Speeltuin Het Hof","onderweg","Bolsward","Elandslaagte 9, Bolsward","False","True","53,061668","5,525831","True","True"
"1060","Speeltuin Os Blie Riek","onderweg","Venlo","Tollensstraat 1b, Venlo","True","True","51,365189","6,14086","True","True"
"1061","Speeltuin wigwam","onderweg","Vrouwenpolder","Pelgrimstraat 22, Vrouwenpolder","False","True","51,575525","3,614227","True","True"
"1062","Stadsboerderij & Waterspeeltuin BuytenDelft","onderweg","Delft","Korftlaan 3a, Delft","True","True","52,017346","4,374977","True","True"
"1063","Stichting BeLeef de Peerdegaerdt","onderweg","Strijen","Kruisdijk 4b, Strijen","True","True","51,730035","4,52683","True","True"
